10482493@N05|2,16,20,21|gcuvz3,gcuvz1,gcuvz1,gcuvz2|Transport,Shopping,Structure,Museum|42,42,42,42|4,4,4,4|71,57,72,67|1382003690,1381990517,1382004473,1382000027
11037560@N04|2,13,21|gcuvz3,gcuvz9,gcuvz2|Transport,Religion,Museum|24,24,24|6,6,6|55,44,48|1308376173,1308366396,1308369674
11037560@N04|2,16,21|gcuvz3,gcuvz1,gcuvz2|Transport,Shopping,Museum|24,24,24|7,7,7|54,54,54|1308461617,1308462167,1308462069
112042056@N06|2,10,21,26|gcuvz3,gcuvy7,gcuvz2,gcuvy6|Transport,Education,Museum,Museum|3,3,3,3|4,4,4,4|26,57,57,60|1389825809,1389853318,1389852927,1389856405
11452054@N00|2,13,28|gcuvz3,gcuvz9,gcuvz1|Transport,Religion,Structure|38,38,38|6,6,6|47,50,47|1158983830,1158985926,1158983420
12982579@N00|11,20,25,26,28|gcuvyf,gcuvz1,gcuvy6,gcuvy6,gcuvz1|Education,Structure,Museum,Museum,Structure|37,37,37,37,37|7,7,7,7,7|72,69,60,59,72|1347789971,1347787387,1347778915,1347778480,1347789620
14086506@N02|1,2,12,14,16,21|gcuvz0,gcuvz3,gcuvz1,gcuvxr,gcuvz1,gcuvz2|Transport,Transport,Education,Religion,Shopping,Museum|29,29,29,29,29,29|6,6,6,6,6,6|39,31,43,48,35,44|1247881786,1247874904,1247885674,1247889917,1247878458,1247886453
14578360@N00|9,10,15|gcuvy7,gcuvy7,gcuvy7|Education,Education,Shopping|18,18,18|2,2,2|42,42,49|1177987042,1177987490,1177993297
16312054@N06|1,12,16,20,21|gcuvz0,gcuvz1,gcuvz1,gcuvz1,gcuvz2|Transport,Education,Shopping,Structure,Museum|33,33,33,33,33|1,1,1,1,1|63,58,62,58,63|1249891109,1249885820,1249890066,1249886015,1249890721
16497759@N07|11,19,28|gcuvyf,gcuvy2,gcuvz1|Education,Structure,Structure|10,10,10|5,5,5|33,27,34|1331252466,1331246735,1331253068
16516058@N03|1,2,12,16,21|gcuvz0,gcuvz3,gcuvz1,gcuvz1,gcuvz2|Transport,Transport,Education,Shopping,Museum|39,39,39,39,39|3,3,3,3,3|30,54,28,32,53|1348616483,1348637446,1348614158,1348618101,1348636897
17358831@N00|11,16,28|gcuvyf,gcuvz1,gcuvz1|Education,Shopping,Structure|12,12,12|4,4,4|51,66,49|1237438221,1237452103,1237436711
17424601@N00|1,2,21|gcuvz0,gcuvz3,gcuvz2|Transport,Transport,Museum|26,26,26|7,7,7|39,39,49|1183254562,1183254716,1183263996
17643132@N00|2,13,16,21|gcuvz3,gcuvz9,gcuvz1,gcuvz2|Transport,Religion,Shopping,Museum|27,27,27,27|6,6,6,6|24,14,29,24|1310162505,1310153675,1310167077,1310162853
20483509@N00|2,9,26|gcuvz3,gcuvy7,gcuvy6|Transport,Education,Museum|11,11,11|7,7,7|60,54,56|1300604602,1300599616,1300600915
21047061@N04|1,2,16|gcuvz0,gcuvz3,gcuvz1|Transport,Transport,Shopping|15,15,15|5,5,5|68,85,68|1176454996,1176470523,1176455005
22087304@N07|2,9,10,21|gcuvz3,gcuvy7,gcuvy7,gcuvz2|Transport,Education,Education,Museum|44,44,44,44|5,5,5,5|84,84,84,84|1225458000,1225458000,1225458000,1225458000
22087304@N07|16,21,26|gcuvz1,gcuvz2,gcuvy6|Shopping,Museum,Museum|44,44,44|6,6,6|84,84,84|1256994000,1256994000,1256994000
22087304@N07|17,26,27|gcuvtg,gcuvy6,gcuvte|Museum,Museum,Structure|39,39,39|4,4,4|88,88,88|1285855200,1285855200,1285855200
22087304@N07|15,25,26|gcuvy7,gcuvy6,gcuvy6|Shopping,Museum,Museum|48,48,48|2,2,2|84,84,84|1291122000,1291122000,1291122000
22751315@N05|1,2,21|gcuvz0,gcuvz3,gcuvz2|Transport,Transport,Museum|24,24,24|7,7,7|52,53,53|1308460447,1308460640,1308460530
23363966@N02|2,19,26|gcuvz3,gcuvy2,gcuvy6|Transport,Structure,Museum|30,30,30|4,4,4|72,53,44|1185444643,1185426984,1185419380
24616128@N00|2,13,20|gcuvz3,gcuvz9,gcuvz1|Transport,Religion,Structure|44,44,44|1,1,1|23,32,37|1351460760,1351469086,1351473765
25396215@N00|2,11,21|gcuvz3,gcuvyf,gcuvz2|Transport,Education,Museum|29,29,29|6,6,6|22,57,22|1216417407,1216448560,1216416793
28370443@N08|2,7,11,12,13,16,21,28|gcuvz3,gcuvz3,gcuvyf,gcuvz1,gcuvz9,gcuvz1,gcuvz2,gcuvz1|Transport,Education,Education,Education,Religion,Shopping,Museum,Structure|27,27,27,27,27,27,27,27|5,5,5,5,5,5,5,5|40,41,55,59,45,59,39,58|1341540852,1341541536,1341553587,1341557738,1341544843,1341557785,1341539690,1341556468
29797746@N08|1,11,12,25,26,28,29|gcuvz0,gcuvyf,gcuvz1,gcuvy6,gcuvy6,gcuvz1,gcuvyc|Transport,Education,Education,Museum,Museum,Structure,Structure|13,13,13,13,13,13,13|1,1,1,1,1,1,1|54,53,54,43,43,53,46|1364189935,1364188862,1364189512,1364179931,1364179565,1364189063,1364182971
30024546@N04|10,12,25|gcuvy7,gcuvz1,gcuvy6|Education,Education,Museum|39,39,39|2,2,2|56,65,55|1222149776,1222158376,1222148874
30024546@N04|11,12,26|gcuvyf,gcuvz1,gcuvy6|Education,Education,Museum|21,21,21|4,4,4|33,35,57|1337818873,1337821024,1337840128
30024546@N04|12,20,28|gcuvz1,gcuvz1,gcuvz1|Education,Structure,Structure|6,6,6|5,5,5|38,40,37|1360287610,1360289421,1360286968
30024546@N04|2,12,20|gcuvz3,gcuvz1,gcuvz1|Transport,Education,Structure|12,12,12|2,2,2|47,48,48|1363665246,1363666138,1363666227
