10340578@N06|3,21,22|xn0m5s,xn0m5r,xn0m5s|Amusement,Entertainment,Entertainment|13,13,13|2,2,2|68,66,68|1364289118,1364287231,1364289091
10340578@N06|1,2,8|xn0m1u,xn0m1u,xn0m7f|Amusement,Amusement,Park|13,13,13|4,4,4|35,35,53|1364432096,1364431934,1364448333
11354044@N05|2,12,15,22|xn0m1u,xn0kgu,xn0m5u,xn0m5s|Amusement,Park,Historical,Entertainment|21,21,21,21|4,4,4,4|60,41,34,26|1337843092,1337826088,1337819689,1337812401
12452841@N00|20,21,24|xn0m5r,xn0m5r,xn0m5r|Entertainment,Entertainment,Entertainment|16,16,16|6,6,6|33,73,44|1397866532,1397902617,1397876729
12452841@N00|3,10,20,21,23|xn0m5s,xn0m5s,xn0m5r,xn0m5r,xn0m5t|Amusement,Park,Entertainment,Entertainment,Entertainment|16,16,16,16,16|7,7,7,7,7|67,66,69,71,68|1397983661,1397982939,1397985584,1397987112,1397984616
14003952@N04|5,6,20|xn0m7m,xn0m7j,xn0m5r|Amusement,Amusement,Entertainment|14,14,14|3,3,3|39,40,43|1364953570,1364954818,1364957670
21147679@N08|20,22,23|xn0m5r,xn0m5s,xn0m5t|Entertainment,Entertainment,Entertainment|40,40,40|6,6,6|78,71,63|1380973189,1380966893,1380959949
22087824@N00|8,17,20|xn0m7f,xn0mk0,xn0m5r|Park,Historical,Entertainment|15,15,15|6,6,6|21,17,50|1239398760,1239394680,1239424320
22669489@N00|1,8,20,21,22|xn0m1u,xn0m7f,xn0m5r,xn0m5r,xn0m5s|Amusement,Park,Entertainment,Entertainment,Entertainment|23,23,23,23,23|3,3,3,3,3|53,46,65,67,61|1307510943,1307503801,1307521037,1307523125,1307517310
26678013@N00|1,2,28|xn0m1u,xn0m1u,xn0m7m|Amusement,Amusement,Entertainment|10,10,10|6,6,6|53,45,76|1204954156,1204946805,1204974575
27921677@N00|5,20,21|xn0m7m,xn0m5r,xn0m5r|Amusement,Entertainment,Entertainment|12,12,12|4,4,4|65,75,78|1206001104,1206010531,1206013199
29989965@N00|1,2,8,20,22|xn0m1u,xn0m1u,xn0m7f,xn0m5r,xn0m5s|Amusement,Amusement,Park,Entertainment,Entertainment|52,52,52,52,52|5,5,5,5,5|42,44,69,63,60|1325213028,1325214451,1325237239,1325231365,1325228644
31484513@N00|7,10,22|xn0m7e,xn0m5s,xn0m5s|Park,Park,Entertainment|41,41,41|7,7,7|62,47,49|1350199803,1350186977,1350188223
35391423@N00|1,2,5,8|xn0m1u,xn0m1u,xn0m7m,xn0m7f|Amusement,Amusement,Amusement,Park|15,15,15,15|3,3,3,3|55,64,74,41|1334123223,1334131504,1334140740,1334111134
36330824413@N01|5,8,21|xn0m7m,xn0m7f,xn0m5r|Amusement,Park,Entertainment|45,45,45|7,7,7|86,59,86|1352641368,1352616454,1352641265
38235150@N00|1,2,8|xn0m1u,xn0m1u,xn0m7f|Amusement,Amusement,Park|37,37,37|3,3,3|15,17,25|1189540210,1189542322,1189549098
43749456@N05|1,6,8,15|xn0m1u,xn0m7j,xn0m7f,xn0m5u|Amusement,Amusement,Park,Historical|17,17,17,17|2,2,2,2|46,61,32,26|1366688069,1366701427,1366675697,1366670114
44926895@N07|8,20,22,25|xn0m7f,xn0m5r,xn0m5s,xn0mdb|Park,Entertainment,Entertainment,Entertainment|25,25,25,25|5,5,5,5|56,80,72,36|1371795092,1371816096,1371808961,1371776952
47957339@N00|5,7,28|xn0m7m,xn0m7e,xn0m7m|Amusement,Park,Entertainment|44,44,44|3,3,2|11,12,92|1351623248,1351624046,1351609328
49462908@N00|5,6,20,23,24|xn0m7m,xn0m7j,xn0m5r,xn0m5t,xn0m5r|Amusement,Amusement,Entertainment,Entertainment,Entertainment|28,28,28,28,28|5,5,5,5,5|56,52,76,65,73|1215756262,1215752400,1215774199,1215764912,1215771655
51035737977@N01|6,8,20|xn0m7j,xn0m7f,xn0m5r|Amusement,Park,Entertainment|45,45,45|1,2,1|94,16,67|1383579223,1383595812,1383554937
53289105@N00|8,10,21,22,23|xn0m7f,xn0m5s,xn0m5r,xn0m5s,xn0m5t|Park,Park,Entertainment,Entertainment,Entertainment|29,29,29,29,29|5,5,5,5,5|35,58,79,55,53|1311296253,1311317003,1311335890,1311313939,1311312188
56944727@N00|6,8,20|xn0m7j,xn0m7f,xn0m5r|Amusement,Park,Entertainment|13,13,13|5,5,5|63,53,41|1206690532,1206681405,1206670971
63282110@N00|15,21,24|xn0m5u,xn0m5r,xn0m5r|Historical,Entertainment,Entertainment|46,46,46|7,7,7|41,67,34|1353205040,1353228330,1353198929
64667184@N02|5,20,24|xn0m7m,xn0m5r,xn0m5r|Amusement,Entertainment,Entertainment|20,20,20|7,7,7|67,37,43|1368953238,1368926412,1368932331
