10502709@N05|7,11,27|dpz839,dpz83m,dpz83m|Cultural,Cultural,Shopping|22,22,22|6,6,6|41,54,56|1180751261,1180762851,1180764509
10502709@N05|22,23,28|dpz83d,dpz83d,dpz83d|Beach,Shopping,Structure|21,21,21|7,7,7|5,2,7|1211649578,1211646745,1211651552
10502709@N05|21,22,23,28|dpz83e,dpz83d,dpz83d,dpz83d|Beach,Beach,Shopping,Structure|42,42,42,42|6,6,6,6|51,49,50,49|1255754920,1255753089,1255754148,1255753697
10627620@N06|3,23,27|dpz83s,dpz83d,dpz83m|Sport,Shopping,Shopping|11,11,11|2,2,2|41,47,49|1331605212,1331610377,1331612583
10627620@N06|21,23,30|dpz83e,dpz83d,dpz839|Beach,Shopping,Structure|12,12,12|6,6,6|27,31,42|1332543396,1332546308,1332556920
11090433@N05|3,22,23,30|dpz83s,dpz83d,dpz83d,dpz839|Sport,Beach,Shopping,Structure|40,40,40,40|6,7,6,7|85,38,88,29|1223126959,1223170932,1223128905,1223162520
11191102@N07|4,16,22|dpz832,dpz838,dpz83d|Sport,Amusement,Beach|4,4,4|6,6,6|31,31,53|1359157949,1359157638,1359177573
11191102@N07|11,23,27|dpz83m,dpz83d,dpz83m|Cultural,Shopping,Shopping|21,21,21|6,6,6|48,47,54|1369454965,1369453726,1369460177
11191102@N07|7,22,30|dpz839,dpz83d,dpz839|Cultural,Beach,Structure|50,50,50|6,6,6|59,64,60|1387003795,1387008510,1387004413
11241023@N03|7,22,28|dpz839,dpz83d,dpz83d|Cultural,Beach,Structure|38,38,38|3,3,3|48,55,60|1190174968,1190180739,1190185237
11349639@N00|4,16,30|dpz832,dpz838,dpz839|Sport,Amusement,Structure|22,22,22|1,1,1|94,94,95|1148917453,1148917293,1148917698
13273343@N00|8,16,30|dpz838,dpz838,dpz839|Cultural,Amusement,Structure|20,20,20|6,6,6|55,53,46|1116654998,1116653308,1116646263
13528098@N00|8,16,30|dpz838,dpz838,dpz839|Cultural,Amusement,Structure|13,13,13|6,6,6|39,39,60|1396057588,1396058111,1396077252
13644648@N03|1,4,6,7,8,11,16,22,23,24,28,29,30|dpz838,dpz832,dpz836,dpz839,dpz838,dpz83m,dpz838,dpz83d,dpz83d,dpz838,dpz83d,dpz83k,dpz839|Sport,Sport,Cultural,Cultural,Cultural,Cultural,Amusement,Beach,Shopping,Shopping,Structure,Structure,Structure|25,25,25,25,25,25,25,25,25,25,25,25,25|2,2,2,2,2,2,2,2,2,2,2,2,2|36,38,37,32,39,38,38,38,37,38,37,38,39|1371517315,1371519708,1371518365,1371514472,1371520749,1371519010,1371519708,1371519707,1371518368,1371519010,1371518366,1371519707,1371520751
13672753@N00|4,8,16,22|dpz832,dpz838,dpz838,dpz83d|Sport,Cultural,Amusement,Beach|35,35,35,35|3,3,3,3|72,64,68,78|1314785488,1314778424,1314782009,1314790758
13907834@N00|4,8,16|dpz832,dpz838,dpz838|Sport,Cultural,Amusement|7,7,7|6,6,6|28,37,37|1266621284,1266628674,1266629053
13907834@N00|11,21,27|dpz83m,dpz83e,dpz83m|Cultural,Beach,Shopping|11,11,11|1,1,1|59,57,59|1268635938,1268634484,1268635848
14391210@N00|6,22,30|dpz836,dpz83d,dpz839|Cultural,Beach,Structure|40,40,40|6,6,6|79,75,72|1223121003,1223117527,1223115278
14391210@N00|22,23,28,30|dpz83d,dpz83d,dpz83d,dpz839|Beach,Shopping,Structure,Structure|42,42,42,42|6,6,6,6|56,59,58,37|1224310452,1224312597,1224311455,1224292838
